Second,Temperature (°C)
39,29
40,10
41,11
42,12
43,13
44,14
45,15
46,16
47,17
48,18
49,19
50,20
51,21
52,22
53,23
54,24
55,25
56,26
57,27
58,28
59,29
0,10
1,11
2,12
3,13
4,14
5,15
6,16
7,17
8,18
9,19
10,20
11,21
12,22
13,23
14,24
15,25
16,26
17,27
18,28
19,29
20,10
21,11
22,12
23,13
24,14
25,15
26,16
20,2024-04-16 09:23:10.752897
22,2024-04-16 09:23:12.339644
23,2024-04-16 09:23:13.344956
24,2024-04-16 09:23:14.349319
25,2024-04-16 09:23:15.357907
26,2024-04-16 09:23:16.363006
27,2024-04-16 09:23:17.367387
28,2024-04-16 09:23:18.373934
29,2024-04-16 09:23:19.378465
10,2024-04-16 09:23:20.383764
11,2024-04-16 09:23:21.392470
12,2024-04-16 09:23:22.409062
13,2024-04-16 09:23:23.414350
14,2024-04-16 09:23:24.423650
15,2024-04-16 09:23:25.428834
16,2024-04-16 09:23:26.433880
17,2024-04-16 09:23:27.446746
18,2024-04-16 09:23:28.453289
19,2024-04-16 09:23:29.477554
20,2024-04-16 09:23:30.486177
21,2024-04-16 09:23:31.491110
22,2024-04-16 09:23:32.496083
23,2024-04-16 09:23:33.505138
24,2024-04-16 09:23:34.510349
25,2024-04-16 09:23:35.516042
26,2024-04-16 09:23:36.521261
27,2024-04-16 09:23:37.527378
28,2024-04-16 09:23:38.533558
29,2024-04-16 09:23:39.538327
10,2024-04-16 09:23:40.544456
11,2024-04-16 09:23:41.551529
12,2024-04-16 09:23:42.556668
13,2024-04-16 09:23:43.561587
14,2024-04-16 09:23:44.569862
15,2024-04-16 09:23:45.579452
16,2024-04-16 09:23:46.585198
17,2024-04-16 09:23:47.590722
18,2024-04-16 09:23:48.595071
19,2024-04-16 09:23:49.601370
20,2024-04-16 09:23:50.607704
21,2024-04-16 09:23:51.613531
22,2024-04-16 09:23:52.619634
23,2024-04-16 09:23:53.625561
24,2024-04-16 09:23:54.630825
25,2024-04-16 09:23:55.646219
26,2024-04-16 09:23:56.656517
27,2024-04-16 09:23:57.662182
28,2024-04-16 09:23:58.668492
29,2024-04-16 09:23:59.673989
10,2024-04-16 09:24:00.680217
11,2024-04-16 09:24:01.686820
12,2024-04-16 09:24:02.692136
13,2024-04-16 09:24:03.697411
14,2024-04-16 09:24:04.702814
15,2024-04-16 09:24:05.708340
16,2024-04-16 09:24:06.714277
17,2024-04-16 09:24:07.719538
18,2024-04-16 09:24:08.724884
19,2024-04-16 09:24:09.731172
20,2024-04-16 09:24:10.736468
21,2024-04-16 09:24:11.741811
22,2024-04-16 09:24:12.747092
23,2024-04-16 09:24:13.754535
24,2024-04-16 09:24:14.762464
25,2024-04-16 09:24:15.770584
26,2024-04-16 09:24:16.775886
27,2024-04-16 09:24:17.786184
28,2024-04-16 09:24:18.791694
29,2024-04-16 09:24:19.799997
10,2024-04-16 09:24:20.808303
11,2024-04-16 09:24:21.815606
12,2024-04-16 09:24:22.825904
13,2024-04-16 09:24:23.831216
14,2024-04-16 09:24:24.838239
15,2024-04-16 09:24:25.847779
16,2024-04-16 09:24:26.855255
17,2024-04-16 09:24:27.862867
18,2024-04-16 09:24:28.871394
19,2024-04-16 09:24:29.896411
20,2024-04-16 09:24:30.902062
21,2024-04-16 09:24:31.912374
22,2024-04-16 09:24:32.917926
23,2024-04-16 09:24:33.927394
24,2024-04-16 09:24:34.932785
25,2024-04-16 09:24:35.939680
26,2024-04-16 09:24:36.944932
27,2024-04-16 09:24:37.951353
28,2024-04-16 09:24:38.956207
29,2024-04-16 09:24:39.964668
10,2024-04-16 09:24:40.971368
11,2024-04-16 09:24:41.978612
12,2024-04-16 09:24:42.988022
13,2024-04-16 09:24:43.996635
15,2024-04-16 09:24:45.003211
16,2024-04-16 09:24:46.012156
17,2024-04-16 09:24:47.021730
18,2024-04-16 09:24:48.026882
19,2024-04-16 09:24:49.031971
20,2024-04-16 09:24:50.037057
21,2024-04-16 09:24:51.042220
22,2024-04-16 09:24:52.053090
23,2024-04-16 09:24:53.066748
24,2024-04-16 09:24:54.075125
25,2024-04-16 09:24:55.086721
26,2024-04-16 09:24:56.093929
27,2024-04-16 09:24:57.099593
28,2024-04-16 09:24:58.105343
29,2024-04-16 09:24:59.110217
10,2024-04-16 09:25:00.116510
11,2024-04-16 09:25:01.122869
12,2024-04-16 09:25:02.132304
13,2024-04-16 09:25:03.137340
14,2024-04-16 09:25:04.144719
15,2024-04-16 09:25:05.157422
16,2024-04-16 09:25:06.163108
17,2024-04-16 09:25:07.171090
18,2024-04-16 09:25:08.178948
19,2024-04-16 09:25:09.187095
20,2024-04-16 09:25:10.194845
21,2024-04-16 09:25:11.202742
22,2024-04-16 09:25:12.210069
23,2024-04-16 09:25:13.215708
24,2024-04-16 09:25:14.242483
25,2024-04-16 09:25:15.247202
26,2024-04-16 09:25:16.254427
27,2024-04-16 09:25:17.259982
28,2024-04-16 09:25:18.266301
29,2024-04-16 09:25:19.271618
10,2024-04-16 09:25:20.277098
11,2024-04-16 09:25:21.283473
12,2024-04-16 09:25:22.289313
13,2024-04-16 09:25:23.294376
14,2024-04-16 09:25:24.300393
15,2024-04-16 09:25:25.306043
16,2024-04-16 09:25:26.311783
17,2024-04-16 09:25:27.327342
18,2024-04-16 09:25:28.333032
19,2024-04-16 09:25:29.337724
20,2024-04-16 09:25:30.353545
21,2024-04-16 09:25:31.360197
22,2024-04-16 09:25:32.366720
23,2024-04-16 09:25:33.371884
24,2024-04-16 09:25:34.378976
25,2024-04-16 09:25:35.385057
26,2024-04-16 09:25:36.390797
27,2024-04-16 09:25:37.396487
28,2024-04-16 09:25:38.402921
29,2024-04-16 09:25:39.407885
10,2024-04-16 09:25:40.416432
11,2024-04-16 09:25:41.421984
12,2024-04-16 09:25:42.428182
13,2024-04-16 09:25:43.434681
14,2024-04-16 09:25:44.440422
15,2024-04-16 09:25:45.448421
16,2024-04-16 09:25:46.460551
17,2024-04-16 09:25:47.467890
18,2024-04-16 09:25:48.475759
19,2024-04-16 09:25:49.484386
20,2024-04-16 09:25:50.493610
21,2024-04-16 09:25:51.498727
